size,path,unused,tutorial
,d3,false,false
,d3/d3-array,false,false
,d3/d3-array/threshold,false,false
,d3/d3-axis,false,false
,d3/d3-brush,true,false
,d3/d3-chord,true,false
,d3/d3-collection,true,false
,d3/d3-color,false,true
,d3/d3-dispatch,true,false
,d3/d3-drag,false,false
,d3/d3-dsv,false,false
,d3/d3-ease,false,false
,d3/d3-force,false,false
,d3/d3-format,false,false
,d3/d3-geo,false,false
,d3/d3-geo/clip,false,false
,d3/d3-geo/path,false,false
,d3/d3-geo/projection,false,false
,d3/d3-hierarchy,true,false
,d3/d3-hierarchy/hierarchy,false,false
,d3/d3-hierarchy/pack,false,false
,d3/d3-hierarchy/treemap,false,false
,d3/d3-interpolate,false,true
,d3/d3-interpolate/transform,false,false
,d3/d3-path,false,false
,d3/d3-polygon,true,false
,d3/d3-quadtree,false,false
,d3/d3-queue,false,false
,d3/d3-random,false,false
,d3/d3-request,false,false
,d3/d3-scale,false,true
,d3/d3-selection,false,true
,d3/d3-selection/selection,false,false
,d3/d3-shape,false,false
,d3/d3-shape/curve,false,false
,d3/d3-shape/offset,false,false
,d3/d3-shape/order,false,false
,d3/d3-shape/symbol,false,false
,d3/d3-time-format,false,false
,d3/d3-time,false,false
,d3/d3-timer,false,false
,d3/d3-transition,false,false
,d3/d3-transition/selection,false,false
,d3/d3-transition/transition,false,false
,d3/d3-voronoi,true,false
,d3/d3-zoom,false,false
90,d3/d3-array/array.js,false,false
86,d3/d3-array/ascending.js,false,false
238,d3/d3-array/bisect.js,false,false
786,d3/d3-array/bisector.js,false,false
72,d3/d3-array/constant.js,false,false
86,d3/d3-array/descending.js,false,false
135,d3/d3-array/deviation.js,false,false
553,d3/d3-array/extent.js,false,false
1876,d3/d3-array/histogram.js,false,false
43,d3/d3-array/identity.js,false,false
451,d3/d3-array/max.js,false,false
362,d3/d3-array/mean.js,false,false
452,d3/d3-array/median.js,false,false
339,d3/d3-array/merge.js,false,false
451,d3/d3-array/min.js,false,false
63,d3/d3-array/number.js,false,false
182,d3/d3-array/pairs.js,false,false
161,d3/d3-array/permute.js,false,false
416,d3/d3-array/quantile.js,false,false
344,d3/d3-array/range.js,false,false
357,d3/d3-array/scan.js,false,false
285,d3/d3-array/shuffle.js,false,false
295,d3/d3-array/sum.js,false,false
361,d3/d3-array/threshold/freedmanDiaconis.js,false,false
180,d3/d3-array/threshold/scott.js,false,false
96,d3/d3-array/threshold/sturges.js,false,false
672,d3/d3-array/ticks.js,false,false
356,d3/d3-array/transpose.js,false,false
540,d3/d3-array/variance.js,false,false
99,d3/d3-array/zip.js,false,false
42,d3/d3-axis/array.js,false,false
5239,d3/d3-axis/axis.js,false,false
43,d3/d3-axis/identity.js,false,false
15778,d3/d3-brush/brush.js,false,false
72,d3/d3-brush/constant.js,false,false
127,d3/d3-brush/event.js,false,false
202,d3/d3-brush/noevent.js,false,false
42,d3/d3-chord/array.js,false,false
3178,d3/d3-chord/chord.js,false,false
72,d3/d3-chord/constant.js,false,false
159,d3/d3-chord/math.js,false,false
2340,d3/d3-chord/ribbon.js,false,false
137,d3/d3-collection/entries.js,false,false
104,d3/d3-collection/keys.js,false,false
1988,d3/d3-collection/map.js,false,false
2021,d3/d3-collection/nest.js,false,false
800,d3/d3-collection/set.js,false,false
115,d3/d3-collection/values.js,false,false
9276,d3/d3-color/color.js,false,false
1855,d3/d3-color/cubehelix.js,false,false
340,d3/d3-color/define.js,false,false
3167,d3/d3-color/lab.js,false,false
72,d3/d3-color/math.js,false,false
2729,d3/d3-dispatch/dispatch.js,false,false
72,d3/d3-drag/constant.js,false,false
4297,d3/d3-drag/drag.js,false,false
430,d3/d3-drag/event.js,false,false
857,d3/d3-drag/nodrag.js,false,false
202,d3/d3-drag/noevent.js,false,false
199,d3/d3-dsv/csv.js,false,false
3582,d3/d3-dsv/dsv.js,false,false
200,d3/d3-dsv/tsv.js,false,false
653,d3/d3-ease/back.js,false,false
521,d3/d3-ease/bounce.js,false,false
261,d3/d3-ease/circle.js,false,false
210,d3/d3-ease/cubic.js,false,false
1309,d3/d3-ease/elastic.js,false,false
251,d3/d3-ease/exp.js,false,false
43,d3/d3-ease/linear.js,false,false
596,d3/d3-ease/poly.js,false,false
192,d3/d3-ease/quad.js,false,false
236,d3/d3-ease/sin.js,false,false
654,d3/d3-force/center.js,false,false
2447,d3/d3-force/collide.js,false,false
72,d3/d3-force/constant.js,false,false
69,d3/d3-force/jiggle.js,false,false
3213,d3/d3-force/link.js,false,false
3181,d3/d3-force/manyBody.js,false,false
3444,d3/d3-force/simulation.js,false,false
1030,d3/d3-force/x.js,false,false
1030,d3/d3-force/y.js,false,false
361,d3/d3-format/defaultLocale.js,false,false
134,d3/d3-format/exponent.js,false,false
656,d3/d3-format/formatDecimal.js,false,false
368,d3/d3-format/formatDefault.js,false,false
475,d3/d3-format/formatGroup.js,false,false
611,d3/d3-format/formatPrefixAuto.js,false,false
458,d3/d3-format/formatRounded.js,false,false
1589,d3/d3-format/formatSpecifier.js,false,false
846,d3/d3-format/formatTypes.js,false,false
5247,d3/d3-format/locale.js,false,false
119,d3/d3-format/precisionFixed.js,false,false
190,d3/d3-format/precisionPrefix.js,false,false
